Code,Categorie,Nom fédération,Nom catégorie
"club101",1,"Fédération Française d'athlétisme","Fédération unisport olympique"
"club102",1,"Fédération Française des sociétés d'aviron","Fédération unisport olympique"
"club103",1,"Fédération Française de badminton","Fédération unisport olympique"
"club105",1,"Fédération Française de basketball","Fédération unisport olympique"
"club106",1,"Fédération Française de boxe","Fédération unisport olympique"
"club107",1,"Fédération Française de canoë-kayak","Fédération unisport olympique"
"club108",1,"Fédération Française de cyclisme","Fédération unisport olympique"
"club109",1,"Fédération Française d'équitation","Fédération unisport olympique"
"club110",1,"Fédération Française d'escrime","Fédération unisport olympique"
"club111",1,"Fédération Française de football","Fédération unisport olympique"
"club112",1,"Fédération Française des sports de glace","Fédération unisport olympique"
"club113",1,"Fédération Française de gymnastique","Fédération unisport olympique"
"club114",1,"Fédération Française d’haltérophilie - musculation","Fédération unisport olympique"
"club115",1,"Fédération Française de handball","Fédération unisport olympique"
"club116",1,"Fédération Française de hockey","Fédération unisport olympique"
"club117",1,"Fédération Française de judo-jujitsu, kendo et disciplines associées","Fédération unisport olympique"
"club118",1,"Fédération Française de lutte","Fédération unisport olympique"
"club119",1,"Fédération Française de natation","Fédération unisport olympique"
"club120",1,"Fédération française de pentathlon moderne","Fédération unisport olympique"
"club121",1,"Fédération Française de ski","Fédération unisport olympique"
"club122",1,"Fédération Française de taekwondo et disciplines associées","Fédération unisport olympique"
"club123",1,"Fédération Française de tennis","Fédération unisport olympique"
"club124",1,"Fédération Française de tennis de Table","Fédération unisport olympique"
"club125",1,"Fédération Française de tir","Fédération unisport olympique"
"club126",1,"Fédération Française de tir à l'arc","Fédération unisport olympique"
"club127",1,"Fédération Française de triathlon","Fédération unisport olympique"
"club128",1,"Fédération Française de voile","Fédération unisport olympique"
"club129",1,"Fédération Française de volleyball","Fédération unisport olympique"
"club131",1,"Fédération Française de hockey sur glace","Fédération unisport olympique"
"club132",1,"Fédération Française de golf","Fédération unisport olympique"
"club133",1,"Fédération Française de rugby","Fédération unisport olympique"
"club134",1,"FF de karaté et disciplines associées","Fédération unisport olympique"
"club135",1,"FF de la montagne et de l'escalade","Fédération unisport olympique"
"club136",1,"FF de roller et skateboard","Fédération unisport olympique"
"club137",1,"FF de surf","Fédération unisport olympique"
"club138",1,"FF de baseball et softball","Fédération unisport olympique"
"club201",2,"Fédération Française d'aéromodélisme","Fédération unisport non olympique"
"club202",2,"Fédération Nationale aéronautique","Fédération unisport non olympique"
"club203",2,"Fédération Française d'aérostation","Fédération unisport non olympique"
"club204",2,"Fédération Française d'aïkido, aïkibudo et affinitaires","Fédération unisport non olympique"
"club205",2,"Fédération Française d'aïkido et de budo","Fédération unisport non olympique"
"club206",2,"Fédération Française du sport automobile","Fédération unisport non olympique"
"club207",2,"Fédération Française de jeu de balle au tambourin","Fédération unisport non olympique"
"club208",2,"Fédération Française de ballon au poing","Fédération unisport non olympique"
"club209",2,"Fédération Française de ball-trap","Fédération unisport non olympique"
"club210",2,"Fédération Française de billard","Fédération unisport non olympique"
"club211",2,"Fédération Française du sport boules","Fédération unisport non olympique"
"club212",2,"Fédération Française de savate, boxe française et disciplines associées","Fédération unisport non olympique"
"club213",2,"Fédération Française de bowling et de sports de quilles","Fédération unisport non olympique"
"club214",2,"Fédération Française de char à voile","Fédération unisport non olympique"
"club215",2,"Fédération Française de la course camarguaise","Fédération unisport non olympique"
"club216",2,"Fédération Française de la course landaise","Fédération unisport non olympique"
"club217",2,"Fédération Française de course d'orientation","Fédération unisport non olympique"
"club218",2,"Fédération Française de cyclotourisme","Fédération unisport non olympique"
"club219",2,"Fédération Française de danse","Fédération unisport non olympique"
"club220",2,"Fédération Française des échecs","Fédération unisport non olympique"
"club221",2,"Fédération Française d'études et sports sous-marins","Fédération unisport non olympique"
"club222",2,"Fédération Française de football américain","Fédération unisport non olympique"
"club224",2,"Fédération Française de giraviation","Fédération unisport non olympique"
"club226",2,"Fédération Française de javelot tir sur cible","Fédération unisport non olympique"
"club227",2,"Fédération Française de jeu de paume","Fédération unisport non olympique"
"club228",2,"Fédération Française de joutes et sauvetage nautique","Fédération unisport non olympique"
"club231",2,"Fédération Française de longue paume","Fédération unisport non olympique"
"club233",2,"Fédération Française de motocyclisme","Fédération unisport non olympique"
"club234",2,"Fédération Française motonautique","Fédération unisport non olympique"
"club237",2,"Fédération Française de parachutisme","Fédération unisport non olympique"
"club241",2,"Fédération Française de pelote basque","Fédération unisport non olympique"
"club242",2,"Fédération Française de pétanque et jeu provençal","Fédération unisport non olympique"
