uid,Activity_type,Studying,SEX,INSEE,Age_2020,qualification,FAMILY_TYPE,occupation_42,target
3,"TA1-1",FALSE,"Female","01004",32,"DIPL1.5","typem4.1","csp_6_2","X"
6,"TA1-2",FALSE,"Female","01004",45,"DIPL1.4","typem4.2","csp_5_6","X"
7,"TA1-1",FALSE,"Male","01004",34,"DIPL1.6","typem4.1","csp_6_9","X"
10,"TA2-1",FALSE,"Male","01004",62,"DIPL1.6","typem4.4","csp_7_5","X"
12,"TA1-1",FALSE,"Female","01004",60,"DIPL1.4","typem4.3","csp_5_4","X"
14,"TA2-2",TRUE,"Female","01004",21,"DIPL1.4","typem2.0","csp_8_4","B"
15,"TA1-1",FALSE,"Female","01004",45,"DIPL1.5","typem4.1","csp_6_2","X"
16,"TA2-1",FALSE,"Male","01004",78,"DIPL1.3","typem4.4","csp_7_7","B"
18,"TA2-1",FALSE,"Female","01004",63,"DIPL1.5","typem4.2","csp_7_5","B"
20,"TA2-1",FALSE,"Male","01004",75,"DIPL1.2","typem4.4","csp_7_5","B"
21,"TA2-2",TRUE,"Female","01004",18,"DIPL3","typem4.4","csp_8_4","B"
23,"TA1-1",FALSE,"Male","01004",31,"DIPL1","typem4.1","csp_2_2","B"
25,"TA1-1",FALSE,"Male","01004",44,"DIPL1.5","typem4.2","csp_1_1","X"
29,"TA1-1",FALSE,"Male","01005",34,"DIPL3","typem4.2","csp_6_8","B"
30,"TA2-5",FALSE,"Female","01005",54,"DIPL1.4","typem4.2","csp_8_5","X"
31,"TA1-1",FALSE,"Female","01005",36,"DIPL1.7","typem4.1","csp_4_2","X"
35,"TA1-1",FALSE,"Female","01007",22,"DIPL1.5","typem4.1","csp_6_9","X"
36,"TA1-1",FALSE,"Male","01007",26,"DIPL1.3","typem4.1","csp_5_5","B"
40,"TA2-2",TRUE,"Female","01007",22,"DIPL1.6","typem1.2","csp_8_4","X"
41,"TA2-1",FALSE,"Female","01007",69,"DIPL1.3","typem4.4","csp_7_5","B"
43,"TA2-1",FALSE,"Female","01009",72,"DIPL1.4","typem4.4","csp_7_7","X"
45,"TA1-1",FALSE,"Male","01010",60,"DIPL1.6","typem4.1","csp_4_6","X"
46,"TA2-2",TRUE,"Female","01010",16,"DIPL1.2","typem4.1","csp_8_4","X"
47,"TA1-2",FALSE,"Male","01014",51,"DIPL1.3","typem1.1","csp_6_4","X"
48,"TA2-1",FALSE,"Male","01014",68,"DIPL2","typem4.3","csp_7_8","X"
49,"TA1-1",FALSE,"Female","01014",56,"DIPL1.3","typem4.3","csp_6_9","B"
51,"TA2-1",FALSE,"Female","01014",61,"DIPL1.4","typem1.2","csp_7_7","X"
52,"TA1-1",FALSE,"Female","01015",56,"DIPL2","typem4.1","csp_5_6","X"
55,"TA1-1",FALSE,"Female","01021",42,"DIPL1.6","typem4.1","csp_4_3","B"
56,"TA1-1",FALSE,"Male","01021",21,"DIPL1.2","typem4.1","csp_6_7","B"
59,"TA1-1",FALSE,"Male","01025",58,"DIPL1.6","typem4.1","csp_4_3","B"
60,"TA1-1",FALSE,"Female","01025",30,"DIPL1.5","typem4.1","csp_4_3","X"
64,"TA2-1",FALSE,"Female","01025",65,"DIPL3","typem1.2","csp_7_5","B"
65,"TA1-1",FALSE,"Male","01025",52,"DIPL1.2","typem1.1","csp_4_2","X"
66,"TA2-1",FALSE,"Male","01025",68,"DIPL1.3","typem2.0","csp_7_5","B"
67,"TA2-1",FALSE,"Female","01026",87,"DIPL1.1","typem1.2","csp_7_5","B"
69,"TA1-1",FALSE,"Female","01027",47,"DIPL1.7","typem1.2","csp_4_3","X"
72,"TA2-1",FALSE,"Male","01027",81,"DIPL3","typem4.4","csp_7_2","B"
73,"TA1-1",FALSE,"Female","01027",37,"DIPL1.6","typem4.1","csp_2_3","B"
76,"TA1-1",FALSE,"Male","01031",26,"DIPL1.3","typem4.1","csp_6_3","X"
78,"TA1-1",FALSE,"Male","01031",32,"DIPL3","typem4.4","csp_6_7","B"
83,"TA1-1",FALSE,"Female","01032",28,"DIPL1.8","typem4.1","csp_4_6","B"
87,"TA2-1",FALSE,"Male","01032",64,"DIPL3","typem1.1","csp_7_8","B"
89,"TA2-1",FALSE,"Male","01033",64,"DIPL1.3","typem4.4","csp_7_8","X"
90,"TA2-2",TRUE,"Female","01033",22,"DIPL1.4","typem3.1","csp_8_4","B"
91,"TA1-1",FALSE,"Male","01033",82,"DIPL1.8","typem4.2","csp_4_2","B"
92,"TA1-1",FALSE,"Female","01033",32,"DIPL1.6","typem1.2","csp_4_3","B"
93,"TA1-1",FALSE,"Male","01033",60,"DIPL1.4","typem4.1","csp_1_1","B"
94,"TA2-2",TRUE,"Female","01033",17,"DIPL3","typem3.1","csp_8_5","B"
96,"TA1-1",FALSE,"Male","01033",61,"DIPL1.7","typem1.1","csp_4_2","B"
98,"TA2-5",FALSE,"Male","01033",23,"DIPL1.7","typem1.1","csp_8_5","B"
100,"TA2-1",FALSE,"Male","01033",75,"DIPL1.3","typem4.4","csp_7_8","B"
101,"TA2-1",FALSE,"Female","01033",93,"DIPL1.6","typem1.2","csp_7_5","B"
102,"TA1-2",FALSE,"Female","01033",45,"DIPL2","typem4.4","csp_5_6","X"
103,"TA1-1",FALSE,"Female","01033",60,"DIPL2","typem1.2","csp_5_4","X"
105,"TA1-1",FALSE,"Female","01033",32,"DIPL1.6","typem1.2","csp_5_5","X"
106,"TA1-1",FALSE,"Male","01033",24,"DIPL1.6","typem4.1","csp_5_3","X"
107,"TA2-5",FALSE,"Male","01033",59,"DIPL1.1","typem2.0","csp_8_5","B"
109,"TA2-1",FALSE,"Female","01034",81,"DIPL1.2","typem1.2","csp_7_8","B"
110,"TA1-1",TRUE,"Female","01034",26,"DIPL1.6","typem4.4","csp_5_3","X"
113,"TA1-1",FALSE,"Female","01034",59,"DIPL1.4","typem4.1","csp_5_4","X"
114,"TA2-4",FALSE,"Female","01034",65,"DIPL1.4","typem4.4","csp_8_6","B"
117,"TA1-1",FALSE,"Female","01034",43,"DIPL1.2","typem3.2","csp_4_7","B"
121,"TA1-1",FALSE,"Male","01034",33,"DIPL3","typem4.2","csp_2_1","B"
122,"TA1-1",FALSE,"Male","01034",35,"DIPL1.2","typem4.1","csp_6_5","X"
123,"TA1-1",FALSE,"Female","01036",28,"DIPL1.3","typem2.0","csp_5_2","X"
126,"TA1-1",FALSE,"Male","01042",53,"DIPL1.3","typem4.1","csp_2_3","B"
132,"TA2-5",FALSE,"Female","01043",52,"DIPL1.5","typem4.2","csp_8_5","X"
