uid,Emp_type
3,"cond|1|6"
7,"cond|1|6"
12,"cond|1|6"
15,"cond|1|6"
23,"cond|2|1"
25,"cond|2|1"
29,"cond|1|6"
31,"cond|1|6"
35,"cond|1|6"
36,"cond|1|6"
45,"cond|1|6"
49,"cond|1|6"
52,"cond|1|6"
55,"cond|1|6"
56,"cond|1|2"
59,"cond|1|6"
60,"cond|1|5"
65,"cond|1|5"
69,"cond|1|6"
73,"cond|2|2"
76,"cond|1|6"
78,"cond|1|6"
83,"cond|1|5"
91,"cond|1|6"
92,"cond|1|5"
93,"cond|2|1"
96,"cond|1|6"
103,"cond|1|6"
105,"cond|1|6"
106,"cond|1|6"
110,"cond|1|1"
113,"cond|1|6"
117,"cond|1|6"
121,"cond|2|2"
122,"cond|1|6"
123,"cond|1|1"
126,"cond|2|2"
133,"cond|1|6"
142,"cond|1|6"
143,"cond|1|6"
150,"cond|1|6"
152,"cond|1|6"
154,"cond|1|6"
159,"cond|1|6"
166,"cond|1|6"
176,"cond|1|6"
178,"cond|2|2"
180,"cond|1|6"
189,"cond|1|6"
193,"cond|2|2"
198,"cond|1|6"
199,"cond|1|6"
201,"cond|1|6"
211,"cond|1|6"
215,"cond|1|5"
224,"cond|1|6"
226,"cond|1|6"
232,"cond|2|1"
235,"cond|1|6"
239,"cond|1|6"
240,"cond|1|6"
241,"cond|1|6"
242,"cond|2|1"
247,"cond|1|6"
250,"cond|1|6"
253,"cond|1|6"
257,"cond|1|6"
258,"cond|1|6"
260,"cond|1|6"
261,"cond|2|2"
264,"cond|1|5"
266,"cond|1|6"
267,"cond|1|6"
271,"cond|1|6"
273,"cond|1|6"
274,"cond|1|6"
276,"cond|1|6"
280,"cond|1|6"
283,"cond|1|6"
289,"cond|1|3"
298,"cond|2|2"
302,"cond|2|2"
307,"cond|1|1"
309,"cond|1|6"
310,"cond|1|6"
316,"cond|1|6"
319,"cond|1|3"
320,"cond|1|6"
321,"cond|1|5"
323,"cond|1|5"
324,"cond|1|6"
334,"cond|1|6"
337,"cond|1|6"
338,"cond|1|6"
347,"cond|1|6"
349,"cond|1|6"
352,"cond|1|6"
357,"cond|1|6"
359,"cond|1|6"
364,"cond|1|6"
374,"cond|1|6"
376,"cond|1|6"
379,"cond|1|6"
381,"cond|1|6"
386,"cond|1|6"
387,"cond|2|1"
391,"cond|1|6"
397,"cond|1|6"
398,"cond|1|6"
402,"cond|1|6"
409,"cond|1|6"
