uid,stipend,employee_count,job_condition,WORKING_HOURS,JOB_DEP,Occupational_status,employer_type,type_of_contract,activity_sector,JOB_DESCRIPTION
3,14825,"tr_6","C",1548,"01","O","ct_9","CDI","MA","628b"
12,18358,"tr_4","C",455,"01","O","ct_8","CDI","MA","542a"
15,3392,"tr_1","P",447,"69","O","ct_6","CDI","CA","625b"
29,8850,"tr_1","C",903,"01","O","ct_9","CDI","GZ","682a"
31,15512,"tr_4","C",1820,"01","O","ct_8","CDI","PZ","422e"
36,19660,"tr_5","C",1940,"69","O","ct_9","CDI","GZ","551a"
45,33787,"tr_1","C",1820,"71","O","ct_9","CDI","GZ","462b"
49,18966,"tr_1","C",2199,"01","O","ct_9","CDI","GZ","691e"
52,9193,"tr_1","C",1127,"01","O","ct_9","CDI","IZ","561b"
55,21755,"tr_2","C",1473,"69","O","ct_8","CDI","QB","434d"
56,8675,"tr_1","C",461,"01","O","ct_9","TTP","NZ","676e"
59,65828,"tr_3","C",1820,"01","O","ct_8","CDI","QB","434a"
60,23853,"tr_6","C",1818,"01","O","ct_2","CDD","OZ","434d"
65,33644,"tr_2","C",1820,"01","O","ct_2","AUT","PZ","421b"
69,18426,"tr_1","C",1742,"01","O","ct_9","CDI","GZ","433d"
76,20821,"tr_1","C",1641,"95","O","ct_9","CDI","HZ","634c"
78,22653,"tr_6","C",1953,"01","O","ct_9","CDI","HZ","676c"
83,4858,"tr_1","P",371,"69","O","ct_9","TOA","JC","461f"
92,28600,"tr_6","C",1820,"69","O","ct_3","AUT","QA","431f"
96,9937,"tr_1","P",496,"69","O","ct_8","CDI","RZ","424a"
103,25927,"tr_1","C",1820,"69","O","ct_9","CDI","KZ","543b"
105,16779,"tr_2","P",1694,"01","O","ct_9","CDI","GZ","552a"
106,11450,"tr_2","C",1418,"01","O","ct_9","CDI","MC","534a"
113,25777,"tr_4","C",1515,"01","O","ct_9","CDI","HZ","546b"
117,34963,"tr_6","C",1819,"01","O","ct_9","CDI","CG","475b"
122,16212,"tr_2","C",1557,"01","O","ct_9","CDI","GZ","652a"
133,27290,"tr_5","C",2009,"69","O","ct_9","CDI","GZ","555a"
142,11252,"tr_2","C",822,"69","O","ct_9","CDI","GZ","684a"
143,17563,"tr_3","C",1582,"01","O","ct_8","CDI","QB","526d"
150,3180,"tr_1","C",409,"01","O","ct_6","CDI","QA","542a"
159,18644,"tr_1","C",1610,"01","O","ct_9","CDI","FZ","632g"
166,16504,"tr_5","C",927,"01","O","ct_9","CDI","CJ","626b"
176,30970,"tr_2","C",2200,"67","O","ct_9","CDI","GZ","474a"
189,31475,"tr_5","C",1825,"01","O","ct_9","CDI","CH","474b"
198,31019,"tr_1","C",2028,"69","O","ct_9","CDI","CK","384b"
199,22038,"tr_5","C",1842,"01","O","ct_8","CDI","QA","542a"
201,18190,"tr_6","C",1992,"01","O","ct_9","CDI","GZ","543g"
211,26001,"tr_5","C",1981,"01","O","ct_9","CDI","HZ","466c"
224,34120,"tr_5","C",2001,"69","O","ct_9","CDI","JC","388c"
226,9665,"tr_4","C",1061,"01","O","ct_2","CDI","OZ","524c"
235,25979,"tr_4","C",1820,"69","O","ct_9","CDI","NZ","543b"
239,22911,"tr_2","C",1582,"71","O","ct_9","CDI","GZ","554b"
240,18325,"tr_1","C",1092,"01","O","ct_9","CDI","IZ","468a"
241,2078,"tr_4","C",156,"01","O","ct_8","CDI","QB","525d"
247,42706,"tr_5","C",1547,"69","O","ct_9","CDI","NZ","628g"
250,34965,"tr_6","C",1398,"69","O","ct_9","CDI","CH","475a"
257,55906,"tr_6","C",1743,"01","O","ct_9","CDI","CK","387d"
264,22153,"tr_6","C",1820,"69","O","ct_2","AUT","OZ","525b"
266,29368,"tr_1","C",2042,"69","O","ct_9","CDI","GZ","634a"
267,49387,"tr_3","C",1820,"01","O","ct_9","CDI","CG","543b"
273,17086,"tr_3","C",2200,"01","O","ct_9","CDI","MA","623a"
274,15706,"tr_3","C",1219,"01","O","ct_9","CDI","EZ","644a"
276,37021,"tr_6","C",1923,"01","O","ct_9","CDI","CL","387c"
280,25149,"tr_5","C",1825,"69","O","ct_8","CDI","QA","431a"
