uid,previous_occupation_42,Previous_emp_type,retirement_age
10,"csp_4_8","cond|1|6",60
16,"csp_5_2","cond|1|6",60
18,"csp_4_8","cond|1|6",60
20,"csp_4_8","cond|1|6",55
41,"csp_4_6","cond|1|6",64
43,"csp_5_6","cond|1|5",65
48,"csp_6_4","cond|1|6",57
51,"csp_5_2","cond|1|5",60
64,"csp_4_3","cond|2|1",60
66,"csp_4_3","cond|1|6",60
67,"csp_4_6","cond|1|6",64
72,"csp_2_1","cond|2|1",56
87,"csp_6_2","cond|1|6",58
89,"csp_6_2","cond|1|6",57
100,"csp_6_3","cond|1|6",65
101,"csp_4_3","cond|1|6",60
109,"csp_6_7","cond|1|6",53
134,"csp_5_6","cond|1|6",65
139,"csp_4_6","cond|1|6",63
141,"csp_3_7","cond|1|6",64
161,"csp_4_6","cond|1|6",60
175,"csp_5_2","cond|1|6",53
182,"csp_5_4","cond|1|5",65
195,"csp_5_6","cond|1|5",60
197,"csp_6_2","cond|1|6",60
200,"csp_5_2","cond|1|6",55
203,"csp_2_2","cond|2|2",60
205,"csp_2_1","cond|2|2",60
207,"csp_4_3","cond|2|1",60
208,"csp_6_7","cond|1|2",58
209,"csp_1_1","cond|2|1",60
212,"csp_5_2","cond|1|6",60
220,"csp_2_1","cond|2|1",60
221,"csp_2_3","cond|2|2",60
231,"csp_1_1","cond|2|1",58
246,"csp_2_1","cond|2|2",63
248,"csp_6_5","cond|1|6",60
251,"csp_6_7","cond|1|6",56
254,"csp_6_2","cond|1|6",60
292,"csp_6_7","cond|1|2",65
313,"csp_4_3","cond|1|6",60
317,"csp_4_7","cond|1|6",62
331,"csp_5_3","cond|1|6",60
336,"csp_3_1","cond|2|1",60
340,"csp_4_7","cond|1|6",63
344,"csp_6_5","cond|1|6",63
348,"csp_6_9","cond|1|5",60
351,"csp_3_4","cond|1|6",60
362,"csp_5_2","cond|1|6",65
365,"csp_2_1","cond|2|1",60
370,"csp_5_2","cond|1|6",62
377,"csp_5_4","cond|1|6",65
378,"csp_1_1","cond|2|1",60
394,"csp_1_3","cond|2|2",60
399,"csp_6_3","cond|1|6",60
400,"csp_3_1","cond|2|1",60
406,"csp_5_6","cond|1|6",55
422,"csp_5_2","cond|1|6",60
424,"csp_5_4","cond|1|6",58
433,"csp_2_2","cond|2|1",65
440,"csp_5_5","cond|1|6",61
441,"csp_2_2","cond|2|1",57
457,"csp_4_6","cond|1|6",60
463,"csp_2_3","cond|2|2",60
468,"csp_4_6","cond|1|6",59
472,"csp_5_2","cond|1|6",60
490,"csp_4_3","cond|1|6",55
496,"csp_4_3","cond|1|6",55
500,"csp_5_6","cond|1|6",67
511,"csp_5_2","cond|1|6",60
514,"csp_4_8","cond|1|6",65
515,"csp_6_7","cond|1|6",60
525,"csp_6_7","cond|1|6",61
528,"csp_6_2","cond|1|6",61
529,"csp_6_4","cond|1|6",60
542,"csp_6_8","cond|1|5",60
550,"csp_5_6","cond|1|6",65
553,"csp_4_2","cond|1|6",65
570,"csp_4_7","cond|1|6",60
593,"csp_2_2","cond|2|1",65
598,"csp_6_7","cond|1|6",60
599,"csp_4_6","cond|1|6",59
605,"csp_1_1","cond|2|2",59
606,"csp_5_2","cond|1|6",60
607,"csp_5_6","cond|1|6",60
618,"csp_6_3","cond|1|6",56
619,"csp_4_6","cond|1|5",65
622,"csp_5_2","cond|1|6",60
630,"csp_5_2","cond|1|6",57
644,"csp_1_1","cond|2|1",60
665,"csp_4_5","cond|1|6",63
666,"csp_2_2","cond|2|1",57
674,"csp_2_1","cond|2|2",59
675,"csp_6_4","cond|1|6",60
680,"csp_4_8","cond|1|6",59
681,"csp_4_3","cond|1|6",60
683,"csp_2_1","cond|2|1",62
690,"csp_3_8","cond|1|6",55
696,"csp_4_8","cond|1|6",65
709,"csp_6_2","cond|1|6",60
711,"csp_5_2","cond|1|6",62
718,"csp_2_1","cond|2|1",60
773,"csp_5_2","cond|1|6",60
784,"csp_6_3","cond|1|6",64
787,"csp_6_8","cond|1|6",65
789,"csp_5_2","cond|1|5",55
791,"csp_3_3","cond|1|6",60
793,"csp_3_3","cond|1|6",64
801,"csp_3_7","cond|1|6",60
805,"csp_2_1","cond|2|2",60
807,"csp_5_4","cond|1|6",62
815,"csp_2_1","cond|2|1",54
816,"csp_6_8","cond|1|6",60
820,"csp_6_2","cond|1|6",60
821,"csp_3_7","cond|1|6",60
827,"csp_5_5","cond|1|6",60
829,"csp_2_3","cond|2|2",60
840,"csp_4_6","cond|1|6",59
842,"csp_5_2","cond|1|6",60
852,"csp_6_3","cond|1|6",60
867,"csp_4_2","cond|1|6",60
872,"csp_6_2","cond|1|6",58
876,"csp_3_3","cond|1|6",60
883,"csp_6_8","cond|1|6",60
900,"csp_2_1","cond|2|1",60
901,"csp_5_2","cond|1|6",64
908,"csp_5_5","cond|1|6",60
913,"csp_5_2","cond|1|6",60
926,"csp_6_7","cond|1|6",65
929,"csp_4_3","cond|2|1",57
930,"csp_5_2","cond|1|6",65
932,"csp_4_3","cond|2|1",60
941,"csp_5_2","cond|1|6",60
948,"csp_6_3","cond|1|6",60
950,"csp_5_2","cond|1|6",62
955,"csp_4_2","cond|1|6",60
957,"csp_5_6","cond|1|6",61
964,"csp_4_7","cond|1|6",60
972,"csp_5_2","cond|1|6",60
973,"csp_2_1","cond|2|1",64
