uid,activity_sector,PREVIOUS_DEP,JOB_DEP,JOB_DESCRIPTION,type_of_contract,Occupational_status,job_condition,employer_type,WORKING_HOURS,employee_count
10,"CH","62","62","481a","CDI","O","C","ct_9",260,"tr_4"
16,"QA","05","05","525d","CDI","O","C","ct_8",1820,"tr_6"
18,"CF","69","69","484a","CDI","O","C","ct_9",1823,"tr_6"
20,"CG","26","26","485b","CDI","O","C","ct_9",1686,"tr_3"
41,"LZ","30","30","461f","CDI","O","C","ct_9",1820,"tr_3"
43,"QB","50","50","563b","AUT","O","C",NA,185,NA
48,"GZ","55","55","641a","CDI","O","C","ct_9",1921,"tr_2"
51,"OZ","60","75","524c","AUT","O","C","ct_2",1820,"tr_5"
66,"QA","48","48","434e","CDI","O","C","ct_8",1677,"tr_4"
67,"OZ","13","13","461f","CDI","O","P","ct_1",971,"tr_5"
87,"CG","79","79","627d","CDI","O","C","ct_9",1937,"tr_6"
89,"CC","31","31","628g","CDI","O","C","ct_9",1779,"tr_3"
100,"FZ","06","06","633a","CDI","O","C","ct_9",1456,"tr_1"
101,"RZ","47","47","435b","CDI","O","C",NA,143,NA
109,"CF","28","28","674a","CDI","O","C","ct_9",1244,"tr_6"
134,"TZ","66","66","563c","CDI","O","C",NA,320,NA
139,"FZ","39","39","463e","CDI","O","C","ct_9",1050,"tr_1"
141,"PZ","93","93","373b","CDI","O","C","ct_5",455,"tr_6"
161,"GZ","59","59","462b","CDI","O","C","ct_9",1911,"tr_4"
175,"QB","59","59","526d","CDI","O","C","ct_8",1820,"tr_4"
182,"QA","50","14","541c","CDD","O","P","ct_6",807,"tr_1"
195,"TZ",NA,NA,"563c","AUT","O","P",NA,210,NA
197,"NZ","94","91","628g","CDI","O","C","ct_9",783,"tr_3"
200,"QB","57","57","526d","CDI","O","C","ct_8",1307,"tr_4"
208,"NZ","72","41","675a","TTP","O","C","ct_9",630,"tr_1"
212,"QA","06","06","526a","CDI","O","C","ct_8",1517,"tr_6"
248,"HZ","95","77","653a","CDI","O","C","ct_9",455,"tr_5"
251,"CH","03","03","673c","CDI","O","C","ct_9",1504,"tr_2"
254,"CB","07","07","627c","CDI","O","C","ct_9",1910,"tr_6"
292,"QB",NA,NA,"671a","AUT","X","P","ct_2",674,"tr_5"
313,"QB","59","59","434d","CDI","O","C","ct_8",1900,"tr_2"
317,"EZ","38","38","472d","CDI","O","C","ct_2",1729,"tr_4"
331,"NZ","91","93","534a","CDI","O","C","ct_9",1980,"tr_5"
340,"DZ","10","10","472c","CDI","O","C","ct_9",1365,"tr_3"
344,"CH","70","70","653a","CDI","O","C","ct_9",590,"tr_4"
348,"NZ","07","26","691e","CDD","O","C",NA,188,"tr_2"
351,"PZ","76","76","341a","CDI","O","C","ct_8",1820,"tr_3"
362,"GZ","83","04","526b","CDI","O","P","ct_9",600,"tr_1"
370,"HZ","06",NA,"521a","CDI","O","C",NA,194,NA
377,"GZ","07","26","543b","CDI","O","P","ct_6",184,"tr_1"
399,"FZ","31","31","632a","CDI","O","C","ct_9",1820,"tr_1"
406,"TZ",NA,NA,"563c","CDI","O","N","ct_7",468,"tr_1"
422,"QB","12","12","526a","CDI","O","C","ct_8",1820,"tr_3"
424,"LZ","2A","2A","541b","CDI","O","C","ct_9",1658,"tr_2"
440,"GZ","39","39","551a","CDI","O","P","ct_9",618,"tr_5"
457,"GZ","16","33","461f","CDI","O","C","ct_9",1450,"tr_2"
468,"GZ","10","10","461d","CDI","O","C","ct_9",1820,"tr_5"
472,"QA","30","30","526a","CDI","O","P","ct_9",392,"tr_6"
490,"GZ","13","13","433d","CDI","O","C","ct_9",1915,"tr_1"
496,"QB","44","44","434c","CDI","O","C","ct_8",1820,"tr_5"
500,"TZ","75","78","563c","CDI","O","N","ct_7",678,"tr_1"
511,"KZ","21","21","526b","CDI","O","C","ct_9",1549,"tr_1"
514,"FZ","76","94","482a","CDI","O","C","ct_9",413,"tr_6"
515,"CA","76","76","676c","CDI","O","C","ct_9",2149,"tr_3"
525,"NZ","77","77","676a","CDI","O","C","ct_9",1418,"tr_5"
528,"CA","52","52","625f","CDI","O","C","ct_9",1628,"tr_5"
529,"CA","35","35","641a","CDI","O","P","ct_9",1443,"tr_5"
542,"QA","75","75","684a","TOA","O","C",NA,497,NA
550,"TZ",NA,NA,"563c","CDI","O","N","ct_7",1413,"tr_0"
553,"PZ","64","64","423b","CDI","O","P",NA,164,NA
570,"GZ","69","69","477a","CDI","O","C","ct_9",1729,"tr_6"
598,"CH","80","80","673c","CDI","O","C","ct_9",1701,"tr_5"
599,"GZ","33","33","462b","CDI","O","C","ct_9",1631,"tr_5"
606,"QA","01","01","525d","CDI","O","C","ct_8",1517,"tr_5"
607,"LZ","75","75","564a","CDI","O","C","ct_5",1858,"tr_6"
618,"NZ","94","93","632a","CDI","O","C","ct_9",1517,"tr_3"
619,"HZ","25","25","461c","AUT","O","N","ct_9",1279,"tr_4"
