uid,ANNUITY
10,87513
16,23889
18,23140
20,23636
41,18390
43,10797
48,17687
51,18532
66,19257
67,37569
87,13846
89,24329
100,14687
101,22017
109,19272
134,11492
139,18918
141,34869
161,15002
175,13233
182,11652
195,10071
197,12736
200,14950
208,14339
212,15303
248,15439
251,12734
254,23033
292,9148
313,17946
317,26140
331,13408
340,27599
344,26241
348,11051
351,20264
362,13574
370,22536
377,11533
399,12096
406,12126
422,14684
424,14604
440,27045
457,20256
468,18887
472,13922
490,19926
496,16679
500,14538
511,17142
514,13013
515,29375
525,8881
528,15127
529,24535
542,10861
550,9982
553,19301
570,25184
598,14805
599,24095
606,27687
607,19211
618,20851
619,11503
622,12998
630,15128
665,18640
675,17113
680,22911
681,11817
690,32303
696,23480
709,13031
711,28326
773,17241
784,15971
787,11908
789,10861
791,30111
793,22588
801,30741
807,26140
816,14660
820,24375
821,19763
827,12704
840,20207
842,10861
852,14125
867,23456
872,18891
876,65126
883,13001
901,19225
908,13723
913,11463
926,14226
930,20214
941,12196
948,11800
950,14953
955,19147
957,12046
964,26486
972,18985
991,15884
997,15005
999,16199
1021,16629
1029,20627
1036,20159
1062,25780
1068,19199
1076,13761
1109,14293
1122,12269
1124,14446
1126,29796
1130,13425
1139,15846
1149,13457
1169,32184
1173,15485
1191,13119
1200,22118
1207,12408
1216,9540
1217,12131
1230,10861
1241,17894
1246,10898
1254,11834
1276,17430
1286,38297
1293,13093
1295,10861
1296,9564
1301,17195
1314,12436
1326,12204
1327,11883
1331,12477
1336,17044
1339,11517
1343,24122
1348,15134
1349,23456
1351,17409
1358,46838
1375,21926
1376,8894
1377,21989
1383,10861
1384,14198
1402,18600
1412,19130
1424,21135
1425,18108
1430,18182
1435,12469
1447,20285
1450,9778
1463,22042
1467,15922
1471,13924
1481,8881
1485,17695
1496,15107
1501,17848
1516,17658
1517,13295
1521,11334
1527,18726
1528,13784
1536,20356
1539,16014
1561,18623
1582,19690
1601,12175
1606,11175
1610,11883
1612,16370
1631,11787
1644,11898
1650,23285
1659,31021
1662,25080
1673,10156
1682,12918
1686,12701
1688,9474
1697,11841
1703,20029
1721,15199
1724,13344
1727,24291
1742,17272
1747,16915
1749,8881
1767,25939
1774,15395
1785,28299
1794,29020
1804,39775
1846,9079
1861,25597
1869,14042
1884,17260
1886,13319
1913,26548
1917,12254
1920,31978
1926,23886
1940,31707
1941,10869
1950,27547
1954,25980
1966,10988
1969,14721
1971,14392
1994,19709
2003,16448
2012,12360
2021,14635
2022,8881
2024,17791
