uid,SPORTS
3,"club212"
18,"club245"
23,"club115"
29,"club105"
41,"club404"
56,"club111"
73,"club402"
98,"club101"
107,"club132"
121,"club242"
141,"club254"
172,"club604"
183,"club111"
189,"club213"
199,"club123"
201,"club121"
226,"club402"
235,"club111"
247,"club115"
253,"club115"
257,"club221"
260,"club111"
266,"club202"
267,"club132"
272,"club111"
273,"club605"
274,"club111"
283,"club109"
323,"club109"
344,"club211"
347,"club401"
352,"club133"
361,"club111"
362,"club402"
364,"club132"
365,"club132"
379,"club111"
391,"club211"
397,"club101"
406,"club258"
410,"club111"
414,"club402"
441,"club211"
446,"club109"
450,"club218"
459,"club124"
461,"club114"
467,"club133"
487,"club202"
505,"club242"
566,"club261"
581,"club117"
619,"club402"
658,"club111"
668,"club132"
683,"club111"
701,"club124"
744,"club111"
754,"club205"
773,"club402"
790,"club233"
800,"club109"
821,"club242"
828,"club101"
835,"club111"
856,"club401"
872,"club211"
873,"club135"
876,"club245"
921,"club402"
932,"club245"
934,"club132"
936,"club103"
942,"club111"
946,"club111"
955,"club245"
962,"club126"
1012,"club403"
1013,"club111"
1049,"club111"
1062,"club111"
1086,"club402"
1090,"club111"
1100,"club111"
1183,"club101"
1184,"club111"
1190,"club111"
1201,"club111"
1210,"club242"
1221,"club221"
1227,"club111"
1252,"club403"
1258,"club111"
1274,"club242"
1285,"club402"
1290,"club242"
1311,"club242"
1321,"club119"
1329,"club111"
1358,"club126"
1372,"club109"
1400,"club106"
1406,"club403"
1437,"club242"
1443,"club402"
1456,"club107"
1460,"club105"
1486,"club114"
1489,"club125"
1511,"club111"
1574,"club604"
1587,"club418"
1596,"club413"
1598,"club111"
1648,"club123"
1671,"club133"
1681,"club105"
1685,"club111"
1714,"club123"
1727,"club242"
1730,"club111"
1732,"club125"
1743,"club109"
1777,"club111"
1804,"club242"
1807,"club604"
1833,"club420"
1846,"club111"
1850,"club205"
1860,"club403"
1885,"club123"
1889,"club242"
1890,"club220"
1901,"club133"
1913,"club404"
1916,"club242"
1919,"club111"
1926,"club218"
1945,"club123"
1950,"club242"
1983,"club111"
1992,"club111"
1993,"club105"
2001,"club133"
2006,"club402"
2046,"club242"
2052,"club218"
2073,"club123"
2078,"club111"
2085,"club109"
2086,"club402"
2116,"club111"
2120,"club220"
2128,"club124"
2154,"club218"
2163,"club604"
2167,"club242"
2203,"club125"
2204,"club115"
2205,"club242"
2214,"club404"
2224,"club605"
2243,"club111"
2245,"club133"
2249,"club123"
2267,"club121"
2272,"club111"
2281,"club242"
2289,"club111"
2325,"club402"
2327,"club109"
2346,"club132"
2347,"club117"
2352,"club242"
2365,"club108"
2373,"club125"
2376,"club111"
2377,"club133"
2380,"club242"
2382,"club242"
2391,"club109"
2392,"club211"
2404,"club105"
2433,"club245"
2437,"club242"
2453,"club219"
2460,"club123"
2461,"club105"
2477,"club401"
2491,"club420"
2506,"club134"
2558,"club242"
2566,"club115"
2585,"club133"
2620,"club121"
2653,"club129"
2667,"club123"
2680,"club119"
2690,"club123"
2709,"club233"
2766,"club111"
2775,"club127"
2778,"club132"
2794,"club101"
2801,"club117"
2802,"club127"
2824,"club123"
2864,"club119"
2880,"club111"
2896,"club242"
2908,"club123"
2912,"club402"
2914,"club604"
2917,"club132"
2921,"club219"
2938,"club111"
2959,"club123"
2971,"club410"
2977,"club105"
2986,"club132"
3025,"club135"
3040,"club132"
3086,"club117"
3090,"club410"
3093,"club117"
3105,"club123"
3114,"club118"
3135,"club211"
3163,"club249"
3165,"club605"
3169,"club114"
3171,"club219"
3198,"club128"
3202,"club123"
3204,"club111"
3218,"club211"
3226,"club257"
3234,"club123"
3243,"club109"
3247,"club111"
3294,"club204"
3296,"club242"
3325,"club242"
3360,"club132"
3374,"club114"
3392,"club109"
3401,"club402"
3411,"club212"
3437,"club101"
3453,"club132"
3458,"club211"
3479,"club402"
3485,"club106"
3501,"club111"
3529,"club211"
3563,"club401"
3569,"club132"
3570,"club122"
3573,"club242"
3596,"club121"
3610,"club103"
3615,"club402"
3620,"club123"
3629,"club117"
3632,"club107"
3701,"club123"
3707,"club501"
3740,"club401"
3741,"club415"
3756,"club251"
3812,"club410"
3819,"club242"
3825,"club123"
3834,"club402"
3871,"club132"
3877,"club211"
3890,"club410"
3902,"club410"
3909,"club601"
3912,"club123"
3916,"club249"
3945,"club125"
3954,"club119"
3970,"club132"
3978,"club112"
4033,"club109"
4042,"club410"
4086,"club211"
4112,"club242"
4114,"club222"
4139,"club132"
4159,"club111"
4177,"club123"
4219,"club128"
4223,"club132"
4269,"club103"
4277,"club135"
4281,"club132"
4297,"club111"
4316,"club121"
4323,"club109"
4324,"club410"
4325,"club109"
4326,"club134"
4358,"club604"
4364,"club111"
4381,"club111"
4383,"club115"
4387,"club111"
4391,"club133"
4395,"club402"
4410,"club111"
4459,"club134"
4461,"club109"
4465,"club111"
4487,"club211"
4494,"club242"
4501,"club123"
4540,"club402"
4543,"club402"
4547,"club109"
4564,"club217"
4574,"club242"
4610,"club242"
4660,"club605"
4669,"club242"
4688,"club133"
4689,"club403"
4697,"club111"
4706,"club403"
4727,"club218"
4742,"club129"
4748,"club101"
4749,"club242"
4768,"club403"
4772,"club211"
4793,"club402"
4795,"club245"
4847,"club111"
4853,"club402"
4869,"club132"
4877,"club111"
4891,"club233"
4900,"club115"
4932,"club111"
4936,"club218"
4941,"club604"
4969,"club119"
4976,"club111"
4980,"club132"
4994,"club113"
5002,"club111"
5008,"club117"
5013,"club403"
5031,"club123"
5052,"club111"
5054,"club403"
5057,"club123"
5058,"club125"
5084,"club111"
5118,"club111"
5167,"club123"
5175,"club604"
5176,"club105"
5185,"club111"
5205,"club132"
5224,"club403"
5228,"club109"
5259,"club101"
5270,"club123"
5294,"club123"
5297,"club101"
5300,"club217"
5305,"club205"
5312,"club403"
